	RES_GDP_LR	RES_GDP_SR	RES_IN_LR	RES_IN_SR
2008M09	0.09646192563670852	-0.03613379584608371	0.6688610869956934	0.6748143489816878
2008M10	-0.9215188125060714	-0.7084008016980026	-0.9994077523558759	-1.160250439066604
2008M11	-0.287586538066353	-0.2251068869519733	-0.291276062371122	-0.3418693475983522
2008M12	-1.911444905661713	-2.051805179443718	0.9067287097127626	0.5156297952379542
2009M01	0.3371967296585241	0.3098852669727668	0.1064546063830101	0.1703095388308758
2009M02	-1.090442981579234	-0.8435623599595306	-1.155472789029748	-1.346323069335081
2009M03	-1.508872094199702	-1.387453570651145	-0.4722982665201819	-0.7581116265563035
2009M04	-1.973042062743124	-0.9298250589248274	-5.142555978640135	-5.429014858540031
2009M05	0.4586726384058092	1.044715369577416	-3.043547084243357	-2.895190708709702
2009M06	-3.071908844083206	-2.849843185407028	-0.8329818768867261	-1.417348429788364
